cds	focus	logFC	adj.P.Val
JGI_DN2595_c0_g1_i1.p1	gYoung_glYoung	-18.8805474810382	0.0450087365622918
JGI_DN131_c0_g2_i1.p1	gYoung_glYoung	-18.285254165406	0.00410469396419912
JGI_DN7500_c0_g1_i10.p1	gYoung_glYoung	-18.1354396862255	0.00475103759660043
JGI_DN5358_c0_g1_i10.p1	gYoung_glYoung	-17.8768957867321	0.0125331406251007
JGI_DN9778_c0_g2_i8.p1	gYoung_glYoung	-17.8534756441007	0.00957457890284396
JGI_DN23669_c0_g1_i10.p1	gYoung_glYoung	16.9192840099508	0.00400238470689382
JGI_DN12930_c0_g1_i2.p1	gYoung_glYoung	-16.5946075797535	0.0176139412607306
JGI_DN7352_c0_g1_i1.p1	gYoung_glYoung	16.5713719443636	0.0434807067826318
JGI_DN10371_c0_g1_i6.p1	gYoung_glYoung	-16.4068484417583	0.00379220084573815
JGI_DN304_c0_g1_i16.p1	gYoung_glYoung	-16.3311445771278	0.00376124882517439
JGI_DN1484_c0_g2_i3.p1	gYoung_glYoung	16.329917017151	0.0493683887156941
JGI_DN2638_c0_g1_i40.p1	gYoung_glYoung	16.2984784291173	0.0450890511420636
JGI_DN2322_c1_g1_i2.p1	gYoung_glYoung	16.2602201487871	0.0463237367105676
JGI_DN5782_c0_g1_i8.p1	gYoung_glYoung	16.2445204607633	0.0421650408064507
JGI_DN2021_c2_g2_i19.p3	gYoung_glYoung	16.2332937832957	0.0422803745722397
JGI_DN24_c0_g1_i1.p1	gYoung_glYoung	16.2206201504608	0.0408250950902897
JGI_DN58836_c0_g1_i4.p1	gYoung_glYoung	16.1895019894013	0.0420754380104606
JGI_DN4774_c0_g1_i10.p1	gYoung_glYoung	16.1725028619516	0.0403312892253361
JGI_DN807_c0_g1_i3.p1	gYoung_glYoung	16.1634073462345	0.0418255089445023
JGI_DN1778_c3_g1_i1.p1	gYoung_glYoung	16.1415279913499	0.00489931818684858
JGI_DN5073_c0_g1_i1.p1	gYoung_glYoung	16.126900539596	0.0435567298505413
JGI_DN1271_c0_g1_i4.p1	gYoung_glYoung	16.1007856213149	0.0425869688386863
JGI_DN5398_c0_g1_i21.p1	gYoung_glYoung	16.1001314784347	0.042044555991581
JGI_DN11352_c0_g1_i2.p1	gYoung_glYoung	16.0879824290222	0.0357691071892796
JGI_DN2875_c0_g1_i1.p1	gYoung_glYoung	16.075923320445	0.0361392762453979
JGI_DN5101_c0_g1_i1.p1	gYoung_glYoung	16.069853838821	0.0330923133053036
JGI_DN4853_c1_g1_i11.p2	gYoung_glYoung	16.0593382893989	0.0438408139087686
JGI_DN74102_c0_g1_i4.p1	gYoung_glYoung	16.0534092400389	0.0333000736757839
JGI_DN8450_c0_g1_i1.p1	gYoung_glYoung	16.0447445496372	0.0319727254374725
JGI_DN97161_c0_g1_i1.p1	gYoung_glYoung	16.0415512374814	0.0315288393169211
JGI_DN11091_c0_g1_i3.p1	gYoung_glYoung	16.0190016980605	0.0333978839821369
JGI_DN6295_c0_g1_i2.p1	gYoung_glYoung	15.9966837029288	0.0296554353664784
JGI_DN5052_c0_g3_i1.p1	gYoung_glYoung	15.9727880461271	0.000243541794361853
JGI_DN4774_c0_g1_i19.p1	gYoung_glYoung	15.912298597596	0.0281582819433045
JGI_DN25_c1_g1_i12.p1	gYoung_glYoung	-15.8726455309446	0.0493664781303658
JGI_DN86875_c0_g1_i1.p1	gYoung_glYoung	15.8710411228928	0.0361752948411866
JGI_DN8743_c0_g1_i16.p1	gYoung_glYoung	15.8609471348783	0.0260439370987229
JGI_DN312491_c0_g1_i1.p1	gYoung_glYoung	15.7925199606252	0.0345346643108225
JGI_DN2885_c0_g2_i1.p1	gYoung_glYoung	15.7832379321287	0.0257797717724473
JGI_DN1759_c0_g1_i6.p1	gYoung_glYoung	15.7821107571467	0.0285186126804065
JGI_DN17194_c0_g1_i4.p1	gYoung_glYoung	15.7802851969438	0.0221149758164363
